actor,year,doc_index,total_risk_mentions,risk_naturhot,risk_biologiska_hot,risk_olyckor,risk_antagonistiska_hot,risk_cyber_hot,risk_sociala_risker,risk_teknisk_infrastruktur,risk_brand,risk_miljö_klimat,risk_ekonomi,sannolikhet_total,sannolikhet_very_low,sannolikhet_low,sannolikhet_medium,sannolikhet_high,sannolikhet_very_high,sannolikhet_change,sannolikhet_uncertainty,sannolikhet_acceptability,sannolikhet_UNKNOWN,konsekvens_total,konsekvens_very_low,konsekvens_low,konsekvens_medium,konsekvens_high,konsekvens_very_high,konsekvens_change,konsekvens_uncertainty,konsekvens_acceptability,konsekvens_UNKNOWN,risk_total,risk_very_low,risk_low,risk_medium,risk_high,risk_very_high,risk_change,risk_uncertainty,risk_acceptability,risk_UNKNOWN
kommun,2019,335,53,17,9,1,9,0,3,7,7,0,0,15,0,3,3,1,0,1,0,0,7,14,0,4,0,0,1,0,1,0,8,23,0,0,0,3,0,1,1,0,18
kommun,2023,336,33,11,0,4,6,1,1,9,1,0,0,8,0,0,0,0,0,0,0,0,8,7,0,0,0,2,0,0,0,0,5,5,0,0,0,0,0,1,0,0,4
kommun,2023,337,44,13,7,4,3,1,2,9,2,3,0,21,2,6,3,5,0,0,2,0,3,5,0,0,0,0,0,0,1,0,4,26,0,0,0,0,0,1,1,0,24
kommun,2023,338,13,3,3,0,0,0,0,3,0,4,0,5,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,6,26,0,0,0,0,0,1,1,0,24
kommun,2015,339,17,2,1,0,5,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,13
kommun,2023,340,80,19,17,7,6,1,6,8,13,2,1,7,0,2,2,0,0,3,0,0,0,14,0,0,0,4,0,0,0,0,10,16,0,0,0,0,0,3,1,0,12
kommun,2015,341,210,66,58,19,31,0,8,16,6,6,0,4,0,0,0,2,0,0,0,0,2,14,0,0,2,5,1,1,0,0,5,28,0,0,0,5,0,3,0,0,20
kommun,2020,342,246,84,52,19,10,3,10,34,22,12,0,56,2,1,3,4,3,2,3,0,38,61,1,1,1,11,0,2,1,0,44,49,0,1,0,4,1,5,1,0,37
kommun,2019,343,144,37,10,25,25,0,2,21,18,6,0,5,0,0,0,1,0,0,0,0,4,15,0,0,0,7,1,0,0,0,7,34,1,0,0,2,0,2,3,0,26
kommun,2023,344,61,29,4,12,7,0,1,5,2,0,1,1,0,0,0,0,0,1,0,0,0,10,0,0,0,4,0,0,0,0,6,32,0,0,0,4,0,1,1,0,26
kommun,2023,345,31,6,7,2,5,0,1,4,4,2,0,5,0,0,1,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,11,22,0,0,0,1,0,1,0,0,20
kommun,2015,346,11,2,2,2,1,0,0,2,1,1,0,3,0,2,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,3,12,0,0,0,1,0,0,0,0,11
kommun,2016,347,63,20,3,5,3,0,0,26,6,0,0,4,0,0,0,0,0,1,0,0,3,11,0,0,0,2,0,0,0,0,9,23,0,1,0,3,0,1,0,0,18
kommun,2023,348,205,94,34,14,7,2,4,18,19,13,0,33,1,0,0,2,1,1,2,0,26,69,1,1,2,15,0,0,0,0,50,67,0,1,1,10,1,4,0,0,50
kommun,2019,349,73,10,24,4,4,1,3,22,4,1,0,4,0,0,0,1,0,0,0,0,3,24,1,2,2,5,2,1,0,0,11,27,0,3,1,2,0,1,0,0,20
kommun,2015,350,222,73,34,20,29,1,4,26,23,12,0,16,0,9,0,1,1,2,1,0,2,15,0,0,0,5,0,0,1,0,9,75,0,1,0,5,1,7,0,0,61
kommun,2015,351,262,64,51,30,19,0,5,36,37,20,0,11,0,2,0,1,0,1,0,0,7,44,0,3,0,18,1,1,1,0,20,42,0,1,0,1,0,4,4,0,32
kommun,2023,352,72,21,8,6,6,0,4,23,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,1,0,0,15,0,0,0,1,0,2,0,0,12
kommun,2015,353,102,19,3,21,6,1,7,16,16,13,0,5,1,0,1,0,1,0,0,0,2,5,0,0,0,2,0,0,0,0,3,40,0,1,0,2,0,2,0,0,35
kommun,2019,354,366,89,75,32,86,3,6,50,22,2,1,38,0,4,3,25,0,0,1,0,5,72,2,2,0,15,15,1,1,0,36,130,0,0,0,4,0,7,1,0,118
kommun,2023,355,90,21,17,2,11,2,4,22,6,5,0,8,0,0,1,1,0,0,0,0,6,11,0,0,0,4,0,0,0,0,7,35,0,0,0,3,0,1,3,0,28
kommun,2024,356,100,32,16,3,21,1,0,16,11,0,0,17,1,1,1,3,2,0,0,0,9,25,1,0,0,11,4,0,0,0,9,27,1,0,0,3,1,2,0,0,20
kommun,2015,357,66,6,11,4,7,0,0,23,10,5,0,25,2,4,1,5,1,0,0,0,12,12,1,1,0,3,0,0,0,0,7,26,0,0,0,1,0,4,0,0,21
kommun,2023,358,45,13,7,4,3,1,2,8,2,5,0,25,2,9,3,5,0,0,1,0,5,7,0,0,0,0,0,0,0,0,7,24,0,0,0,0,0,1,2,0,21
kommun,2019,359,32,6,6,2,2,0,1,12,3,0,0,5,0,0,1,0,0,1,0,0,3,11,0,0,1,0,0,0,0,0,10,19,1,0,0,1,0,1,0,0,16
kommun,2019,360,124,25,11,3,14,0,6,38,24,3,0,2,1,0,0,0,0,0,0,0,1,7,0,0,0,3,1,0,0,0,3,15,0,0,0,0,0,1,0,0,14
kommun,2019,361,157,64,19,11,15,2,1,18,13,14,0,5,0,0,0,0,1,1,0,0,3,14,1,0,0,2,1,1,0,0,9,46,0,1,1,4,0,11,1,0,28
kommun,2015,362,2,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,33,0,0,0,1,0,0,0,0,32
kommun,2023,363,11,7,3,0,0,0,0,0,1,0,0,10,1,1,1,1,1,0,1,0,4,7,0,0,0,2,0,0,1,0,4,10,0,0,0,0,0,2,0,0,8
kommun,2023,364,66,9,9,11,13,1,2,11,5,5,0,6,1,1,1,0,1,0,0,0,2,7,0,0,0,3,0,0,0,0,4,12,0,0,0,1,0,2,0,0,9
kommun,2015,365,34,25,3,0,0,0,0,4,1,1,0,8,0,0,0,0,0,5,1,0,2,2,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,2,0,0,6
kommun,2019,366,115,19,22,16,11,1,4,18,14,8,2,4,0,0,0,0,1,0,0,0,3,15,0,0,0,2,0,0,2,0,11,26,0,0,0,3,0,1,1,0,21
kommun,2019,367,182,65,13,18,11,5,2,29,26,13,0,8,0,2,0,1,0,2,0,0,3,13,0,0,0,7,0,0,0,0,6,49,0,0,0,2,0,7,2,0,38
kommun,2023,368,166,45,12,8,20,1,0,63,14,3,0,16,0,2,0,2,2,0,0,0,10,22,0,1,0,5,1,0,0,0,15,67,0,1,0,9,0,9,0,0,48
kommun,2023,369,75,21,12,4,10,0,2,21,3,2,0,3,0,0,0,0,0,0,0,0,3,14,0,0,1,4,0,0,0,0,9,17,0,0,0,0,0,3,0,0,14
kommun,2023,370,397,139,42,51,39,0,2,42,58,23,1,53,1,6,3,9,4,4,2,0,24,77,0,3,0,27,4,2,3,0,38,55,0,2,1,9,0,10,1,0,32
kommun,2023,371,235,92,36,26,29,1,9,20,21,1,0,50,3,3,17,14,6,2,0,0,5,58,0,0,1,32,11,1,0,0,13,49,1,1,3,3,0,5,1,0,35
kommun,2015,372,11,5,2,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,5
kommun,2023,373,365,139,66,6,48,9,11,34,35,16,1,6,0,0,0,1,0,0,3,0,2,31,0,0,1,6,1,0,0,0,23,71,0,0,0,6,1,14,2,0,48
kommun,2023,374,92,10,24,5,16,0,5,16,12,3,1,32,1,6,2,5,3,1,2,1,11,41,0,0,2,19,4,0,2,1,13,34,0,2,0,1,0,1,2,0,28
kommun,2023,375,12,1,5,2,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,2,19,1,0,0,1,0,1,1,0,15
kommun,2019,376,24,5,4,2,4,0,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,12,0,0,0,1,0,1,0,0,10
kommun,2015,377,159,55,23,18,36,0,2,16,5,3,1,28,6,2,10,1,0,1,0,0,8,30,1,0,1,8,10,0,0,0,10,27,0,0,0,1,0,9,2,0,15
kommun,2016,378,12,0,7,1,0,0,0,4,0,0,0,3,0,1,1,0,0,0,0,0,1,6,0,2,0,1,2,0,0,0,1,10,0,0,0,0,0,0,0,0,10
kommun,2019,379,61,20,19,5,2,1,2,8,3,1,0,8,1,0,1,0,1,1,0,0,4,17,0,0,0,1,0,0,1,0,15,42,0,0,0,0,0,2,7,1,32
kommun,2023,380,185,58,23,6,43,13,2,26,8,6,0,21,0,0,0,2,1,1,3,0,14,38,0,2,0,7,2,0,3,0,24,43,0,0,0,2,0,1,5,0,35
kommun,2019,381,39,10,18,1,2,0,2,3,2,1,0,29,2,6,7,3,1,1,5,0,4,15,0,0,0,0,0,0,1,0,14,41,0,0,0,0,0,2,7,1,31
kommun,2019,382,23,7,3,1,0,0,0,11,1,0,0,2,0,0,0,0,0,1,0,0,1,6,0,0,0,2,0,0,1,0,3,7,0,0,0,0,0,0,0,0,7
kommun,2023,383,551,156,93,23,121,12,1,80,43,20,2,97,18,4,5,12,0,7,5,0,46,128,0,1,0,30,6,4,8,0,79,92,0,1,0,5,0,12,1,0,73
kommun,2015,384,305,101,34,15,61,2,20,49,12,10,1,4,0,0,0,1,0,0,0,0,3,40,0,0,1,10,3,0,2,0,24,48,0,0,0,3,0,8,0,0,37
